County,TaxRate
Alachua,0.075
Baker,0.070
Bay,0.070
Bradford,0.070
Brevard,0.070
Broward,0.070
Calhoun,0.070
Charlotte,0.070
Citrus,0.070
Clay,0.070
Collier,0.070
Columbia,0.070
DeSoto,0.070
Dixie,0.070
Duval,0.075
Escambia,0.075
Flagler,0.070
Franklin,0.070
Gadsden,0.075
Gilchrist,0.070
Glades,0.070
Gulf,0.070
Hamilton,0.070
Hardee,0.070
Hendry,0.070
Hernando,0.065
Highlands,0.075
Hillsborough,0.075
Holmes,0.070
Indian River,0.070
Jackson,0.075
Jefferson,0.070
Lafayette,0.070
Lake,0.070
Lee,0.065
Leon,0.075
Levy,0.070
Liberty,0.070
Madison,0.075
Manatee,0.070
Marion,0.070
Martin,0.065
Miami-Dade,0.070
Monroe,0.075
Nassau,0.070
Okaloosa,0.070
Okeechobee,0.070
Orange,0.065
Osceola,0.075
Palm Beach,0.070
Pasco,0.070
Pinellas,0.070
Polk,0.070
Putnam,0.070
Santa Rosa,0.070
Sarasota,0.070
Seminole,0.070
St. Johns,0.065
St. Lucie,0.070
Sumter,0.070
Suwannee,0.070
Taylor,0.070
Union,0.070
Volusia,0.065
Wakulla,0.070
Walton,0.070
Washington,0.070
